Year,Growth Rate,Population Change,Median Age,Fertility Rate,Urban Population %
2024,0.87 %,"70,237,642",30.6,2.25,55
36,"42,647,492",2.88 %,"1,192,731",65,"652,860","-44,089",4.761,17,26.5 %,0.5 %
37,"40,583,164",3.03 %,"1,192,365",77,"527,970","-10,482",4.499,18,32.8 %,0.5 %
38,"39,742,430",1.13 %,"443,325",4,"9,093,510","368,599",1.343,40,80.2 %,0.5 %
39,"38,539,201",-0.58 %,"-223,643",126,"306,230","-238,062",1.304,42,58.7 %,0.5 %
40,"38,081,173",0.98 %,"368,668",85,"446,300","-46,802",2.208,30,66.7 %,0.5 %
41,"37,885,849",3.09 %,"1,135,943",30,"1,246,700","-2,629",5.048,17,68.1 %,0.5 %
42,"37,860,221",0.34 %,"127,385",65,"579,320","1,146,012",0.988,42,79.2 %,0.5 %
43,"36,361,859",1.99 %,"709,552",85,"425,400","-7,066",3.486,27,48.4 %,0.4 %
44,"35,557,673",1.23 %,"431,375",108,"328,550","174,770",1.543,31,76.9 %,0.4 %
45,"34,631,766",2.96 %,"996,606",44,"786,380","-38,940",4.69,16,41 %,0.4 %
46,"34,427,414",1.89 %,"639,500",151,"227,540","-13,114",3.344,21,57.9 %,0.4 %
47,"34,217,848",1.1 %,"372,231",27,"1,280,000","18,406",1.965,30,80.4 %,0.4 %
48,"33,962,757",2.1 %,"698,465",16,"2,149,690","122,170",2.308,30,92.3 %,0.4 %
49,"31,964,956",2.47 %,"769,024",55,"581,795","-1,795",3.912,19,39.6 %,0.4 %
50,"31,934,230",2.47 %,"768,576",100,"318,000","7,838",4.23,18,48.5 %,0.4 %
51,"29,651,054",-0.15 %,"-43,560",207,"143,350","-401,282",1.961,25,23.8 %,0.4 %
52,"29,123,744",2.65 %,"751,057",62,"472,710","-13,892",4.261,18,58.9 %,0.4 %
53,"28,405,543",0.37 %,"104,689",32,"882,050","-105,297",2.077,29,N.A.,0.3 %
54,"27,032,412",3.34 %,"872,545",21,"1,266,700","-4,041",5.935,15,17.9 %,0.3 %
55,"26,713,205",0.99 %,"262,081",3,"7,682,300","138,510",1.638,38,86.3 %,0.3 %
56,"26,498,823",0.31 %,"80,619",220,"120,410","-2,473",1.784,36,62.9 %,0.3 %
57,"24,672,760",4.57 %,"1,078,137",134,"183,630","546,494",2.7,23,52.9 %,0.3 %
58,"24,478,595",2.98 %,"709,468",20,"1,220,190","-46,880",5.51,16,43.7 %,0.3 %
59,"23,548,781",2.27 %,"523,005",86,"273,600","-25,807",4.11,17,32.9 %,0.3 %
60,"23,213,962",-0.44 %,"-103,183",656,"35,410","-25,832",0.863,44,83.2 %,0.3 %
61,"23,103,565",0.57 %,"131,948",368,"62,710","-27,245",1.952,33,17.9 %,0.3 %
62,"21,655,286",2.61 %,"550,804",230,"94,280","-1,507",3.59,18,19.5 %,0.3 %
63,"21,314,956",2.85 %,"590,991",29,"743,390","7,381",4.036,18,46.2 %,0.3 %
64,"20,592,571",1.29 %,"262,467",8,"2,699,700","-7,368",2.984,30,55.2 %,0.3 %
65,"20,299,123",5.07 %,"980,059",16,"1,259,200","204,040",6.028,16,22.2 %,0.2 %
66,"19,764,771",0.54 %,"105,936",27,"743,532","58,316",1.14,36,84.6 %,0.2 %
67,"19,015,088",-0.54 %,"-103,391",83,"230,170","-28,466",1.711,43,54.9 %,0.2 %
68,"19,009,151",3.54 %,"650,536",30,"627,340","26,859",6.013,16,46.3 %,0.2 %
69,"18,501,984",2.35 %,"424,411",96,"192,530","-10,307",3.765,19,51.7 %,0.2 %
70,"18,406,359",1.55 %,"281,521",172,"107,160","-7,725",2.287,23,56 %,0.2 %
71,"18,228,742",0.75 %,"136,218",541,"33,720","121,628",1.434,41,89.1 %,0.2 %
72,"18,135,478",0.86 %,"155,395",73,"248,360","-19,704",1.806,29,65.5 %,0.2 %
73,"17,638,801",1.23 %,"214,921",100,"176,520","-32,960",2.548,26,26 %,0.2 %
74,"16,634,373",1.8 %,"293,551",43,"386,850","-60,528",3.674,18,37.7 %,0.2 %
